Id,y
0,0
1,1
2,1
3,1
4,0
5,0
6,0
7,1
8,0
9,0
10,0
11,1
12,0
13,1
14,0
15,1
16,1
17,0
18,1
19,0
20,0
21,1
22,1
23,1
24,0
25,1
26,1
27,1
28,0
29,0
30,1
31,0
32,0
33,0
34,1
35,0
36,1
37,0
38,1
39,0
40,1
41,0
42,1
43,0
44,1
45,0
46,0
47,0
48,0
49,1
50,0
51,0
52,1
53,0
54,0
55,1
56,1
57,1
58,0
59,0
60,0
61,1
62,1
63,1
64,0
65,0
66,0
67,0
68,1
69,0
70,1
71,0
72,0
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,0
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,1
90,0
91,1
92,0
93,1
94,0
95,0
96,0
97,0
98,1
99,1
100,0
101,1
102,0
103,1
104,0
105,0
106,1
107,0
108,1
109,1
110,0
111,1
112,0
113,0
114,0
115,1
116,0
117,0
118,0
119,1
120,0
121,1
122,0
123,1
124,1
125,1
126,0
127,1
128,1
129,1
130,1
131,0
132,0
133,1
134,0
135,1
136,1
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,0
145,1
146,0
147,0
148,0
149,1
150,0
151,1
152,0
153,0
154,1
155,1
156,1
157,0
158,1
159,1
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,1
170,1
171,0
172,1
173,0
174,0
175,1
176,0
177,1
178,0
179,0
180,1
181,0
182,0
183,0
184,1
185,1
186,0
187,0
188,0
189,1
190,0
191,1
192,0
193,1
194,0
195,0
196,0
197,0
198,0
199,1
200,1
201,0
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,0
210,1
211,1
212,0
213,0
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,0
223,1
224,0
225,1
226,1
227,0
228,0
229,1
230,0
231,0
232,0
233,0
234,1
235,0
236,1
237,1
238,1
239,0
240,0
241,1
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,1
250,0
251,1
252,0
253,0
254,1
255,1
256,0
257,0
258,1
259,0
260,0
261,0
262,0
263,0
264,1
265,1
266,1
267,0
268,1
269,0
270,0
271,1
272,0
273,0
274,1
275,1
276,0
277,1
278,1
279,1
280,0
281,1
282,0
283,0
284,1
285,0
286,0
287,1
288,0
289,0
290,1
291,1
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,1
300,0
301,0
302,0
303,1
304,0
305,0
306,0
307,1
308,1
309,0
310,0
311,0
312,1
313,0
314,1
315,0
316,0
317,1
318,1
319,0
320,0
321,1
322,0
323,0
324,1
325,1
326,1
327,1
328,1
329,1
330,0
331,0
332,1
333,0
334,0
335,1
336,0
337,0
338,0
339,0
340,1
341,0
342,1
343,0
344,1
345,0
346,0
347,1
348,0
349,1
350,1
351,0
352,0
353,0
354,0
355,1
356,0
357,0
358,1
359,0
360,1
361,0
362,0
363,0
364,1
365,0
366,1
367,1
368,1
369,0
370,0
371,1
372,1
373,0
374,1
375,0
376,0
377,0
378,1
379,1
380,0
381,0
382,0
383,1
384,1
385,0
386,0
387,1
388,1
389,1
390,0
391,1
392,0
393,1
394,0
395,1
396,1
397,0
398,0
399,0
400,1
401,0
402,1
403,0
404,0
405,0
406,0
407,0
408,0
409,1
410,1
411,1
412,0
413,1
414,0
415,0
416,0
417,1
418,1
419,0
420,1
421,1
422,0
423,1
424,1
425,0
426,0
427,1
428,0
429,1
430,0
431,0
432,0
433,1
434,0
435,1
436,0
437,0
438,1
439,1
440,0
441,0
442,1
443,1
444,0
445,0
446,1
447,0
448,1
449,0
450,0
451,1
452,1
453,1
454,0
455,0
456,0
457,0
458,0
459,1
460,0
461,1
462,0
463,0
464,1
465,0
466,1
467,1
468,0
469,0
470,1
471,0
472,0
473,0
474,0
475,1
476,1
477,0
478,0
479,0
480,1
481,0
482,0
483,0
484,1
485,0
486,0
487,0
488,1
489,0
490,0
491,0
492,1
493,0
494,1
495,0
496,0
497,1
498,1
499,1
500,0
501,1
502,0
503,0
504,1
505,0
506,0
507,0
508,0
509,1
510,1
511,0
512,1
513,0
514,1
515,0
516,0
517,0
518,0
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,0
527,1
528,1
529,0
530,0
531,0
532,1
533,1
534,0
535,1
536,1
537,0
538,0
539,1
540,1
541,0
542,1
543,0
544,0
545,1
546,0
547,1
548,1
549,0
550,1
551,1
552,1
553,0
554,1
555,0
556,0
557,0
558,0
559,0
560,1
561,0
562,1
563,1
564,0
565,0
566,0
567,0
568,1
569,1
570,1
571,1
572,0
573,0
574,0
575,1
576,1
577,0
578,0
579,1
580,0
581,0
582,0
583,0
584,0
585,0
586,1
587,1
588,1
589,1
590,1
591,1
592,0
593,0
594,0
595,0
596,0
597,1
598,0
599,0
600,1
601,0
602,0
603,1
604,1
605,1
606,1
607,0
608,0
609,0
610,0
611,0
612,0
613,1
614,0
615,1
616,1
617,0
618,0
619,0
620,0
621,1
622,0
623,1
624,0
625,1
626,1
627,0
628,1
629,1
630,1
631,0
632,0
633,1
634,1
635,1
636,0
637,0
638,0
639,0
640,0
641,1
642,1
643,1
644,1
645,0
646,1
647,1
648,1
649,0
650,0
651,0
652,0
653,1
654,1
655,1
656,1
657,0
658,1
659,0
660,0
661,0
662,0
663,0
664,1
665,0
666,0
667,0
668,1
669,0
670,1
671,0
672,0
673,0
674,1
675,1
676,1
677,1
678,0
679,0
680,1
681,0
682,0
683,0
684,0
685,0
686,1
687,0
688,0
689,1
690,1
691,0
692,0
693,1
694,1
695,0
696,1
697,0
698,0
699,1
700,1
701,0
702,0
703,0
704,0
705,1
706,0
707,0
708,0
709,0
710,0
711,1
712,1
713,0
714,1
715,0
716,1
717,0
718,1
719,0
720,1
721,0
722,1
723,0
724,1
725,0
726,0
727,1
728,0
729,0
730,0
731,1
732,0
733,1
734,1
735,1
736,0
737,1
738,0
739,1
740,0
741,1
742,1
743,0
744,1
745,0
746,0
747,0
748,0
749,0
750,1
751,0
752,0
753,1
754,0
755,1
756,1
757,1
758,0
759,0
760,1
761,1
762,1
763,0
764,0
765,0
766,1
767,0
768,1
769,0
770,0
771,1
772,1
773,1
774,0
775,1
776,1
777,1
778,1
779,0
780,0
781,0
782,0
783,0
784,1
785,0
786,1
787,0
788,0
789,0
790,0
791,0
792,1
793,0
794,1
795,0
796,1
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,1
806,1
807,0
808,0
809,1
810,1
811,1
812,1
813,0
814,0
815,1
816,1
817,0
818,1
819,0
820,1
821,0
822,0
823,0
824,0
825,1
826,1
827,1
828,1
829,0
830,0
831,1
832,0
833,0
834,1
835,0
836,0
837,0
838,1
839,0
840,1
841,1
842,0
843,1
844,1
845,0
846,1
847,1
848,0
849,1
850,1
851,0
852,0
853,0
854,1
855,1
856,0
857,1
858,0
859,0
860,1
861,0
862,1
863,0
864,0
865,0
866,1
867,0
868,1
869,1
870,1
871,1
872,0
873,1
874,0
875,1
876,1
877,0
878,0
879,1
880,1
881,0
882,0
883,1
884,1
885,1
886,0
887,0
888,0
889,1
890,1
891,0
892,1
893,0
894,1
895,0
896,1
897,1
898,0
899,1
900,0
901,0
902,0
903,0
904,1
905,1
906,1
907,0
908,1
909,0
910,0
911,0
912,0
913,1
914,0
915,0
916,1
917,0
918,1
919,1
920,1
921,0
922,1
923,0
924,1
925,1
926,1
927,0
928,0
929,1
930,0
931,1
932,0
933,0
934,1
935,0
936,0
937,0
938,0
939,0
940,0
941,1
942,1
943,0
944,1
945,0
946,1
947,1
948,0
949,0
950,0
951,1
952,0
953,0
954,0
955,1
956,1
957,1
958,0
959,0
960,0
961,0
962,0
963,0
964,1
965,1
966,1
967,0
968,0
969,0
970,0
971,0
972,1
973,0
974,1
975,0
976,0
977,1
978,0
979,1
980,0
981,0
982,0
983,0
984,1
985,0
986,0
987,1
988,0
989,1
990,0
991,0
992,1
993,0
994,0
995,1
996,1
997,0
998,0
999,1
1000,0
1001,1
1002,0
1003,1
1004,0
1005,0
1006,0
1007,1
1008,0
1009,1
1010,1
1011,1
1012,1
1013,0
1014,1
1015,0
1016,1
1017,0
1018,1
1019,1
1020,1
1021,0
1022,0
1023,1
1024,1
1025,0
1026,1
1027,0
1028,0
1029,1
1030,0
1031,0
1032,1
1033,0
1034,1
1035,1
1036,0
1037,1
1038,1
1039,0
1040,1
1041,1
1042,0
1043,1
1044,0
1045,0
1046,1
1047,1
1048,1
1049,1
1050,0
1051,0
1052,0
1053,1
1054,0
1055,1
1056,0
1057,0
1058,0
1059,0
1060,1
